team_id,team_name,country
103,Leon Eagles,Mexico
104,Osaka Lions,Japan
105,London Maccabi,England
106,Toulouse Lions,France
107,Hiroshima Lions,Japan
108,Leipzig Wanderers,Germany
109,Amsterdam United,Netherlands
110,Bern Maccabi,Switzerland
111,Salvador Sporting,Brazil
112,Paris Sporting,France
113,Kyoto Eagles,Japan
114,Amsterdam FC,Netherlands
115,Rotterdam Wanderers,Netherlands
116,Breda Lions,Netherlands
117,Tetouan City,Morocco
118,Gwangju Rovers,South Korea
119,Munich Wanderers,Germany
120,Bordeaux Lions,France
121,Braga FC,Portugal
122,Rivera Hapoel,Uruguay
123,Dortmund Hapoel,Germany
124,Varazdin Maccabi,Croatia
125,Salto Sporting,Uruguay
126,Valencia City,Spain
127,Sapporo Athletic,Japan
128,Netanya Sporting,Israel
129,Verona Rovers,Italy
130,Montevideo Rovers,Uruguay
131,Ghent FC,Belgium
132,Zaragoza Rovers,Spain
133,Nice Eagles,France
134,Bilbao Wanderers,Spain
135,Aalborg Athletic,Denmark
136,Nottingham City,England
137,Orlando Maccabi,United States
138,Hamburg Lions,Germany
139,Aarhus Maccabi,Denmark
140,Seattle United,United States
141,Basel FC,Switzerland
142,Tangier Hapoel,Morocco
143,Agadir Maccabi,Morocco
144,Los Angeles Lions,United States
145,Stuttgart United,Germany
146,Gwangju FC,South Korea
147,Chicago Maccabi,United States
148,Queretaro Hapoel,Mexico
149,Fortaleza Lions,Brazil
150,Amsterdam Sporting,Netherlands
151,Lisbon Eagles,Portugal
152,Munich FC,Germany
153,Guadalajara Maccabi,Mexico
154,Rio de Janeiro Dynamo,Brazil
155,Porto Alegre Sporting,Brazil
156,Marseille Lions,France
157,Leon Sporting,Mexico
158,Atlanta Sporting,United States
159,Cordoba Lions,Argentina
160,Antwerp City,Belgium
161,Oujda Maccabi,Morocco
162,Leeds FC,England
163,Netanya Dynamo,Israel
164,Oujda Athletic,Morocco
165,Verona Wanderers,Italy
166,Birmingham Athletic,England
167,Madrid Lions,Spain
168,Mexico City Athletic,Mexico
169,Munich United,Germany
170,Copenhagen Dynamo,Denmark
171,Copenhagen Athletic,Denmark
172,Recife Dynamo,Brazil
173,Naples FC,Italy
174,Newcastle Hapoel,England
175,Randers Athletic,Denmark
176,Eindhoven Lions,Netherlands
177,Daegu Sporting,South Korea
178,Arnhem FC,Netherlands
179,Marrakesh Lions,Morocco
180,Queretaro FC,Mexico
181,Mechelen Maccabi,Belgium
182,Durazno Sporting,Uruguay
183,Birmingham Sporting,England
184,Bordeaux Athletic,France
185,Florence Eagles,Italy
186,Nottingham FC,England
187,Oujda Sporting,Morocco
188,Marrakesh Sporting,Morocco
189,Florence Athletic,Italy
190,Salto Dynamo,Uruguay
191,Liege Sporting,Belgium
192,Copenhagen United,Denmark
193,Hamburg Dynamo,Germany
194,Cologne Rovers,Germany
195,Beer Sheva Athletic,Israel
196,Zaragoza Athletic,Spain
197,Aalborg Sporting,Denmark
198,Genoa Rovers,Italy
199,Pula Rovers,Croatia
200,Guimaraes Maccabi,Portugal
201,Hiroshima United,Japan
202,Sapporo Wanderers,Japan
203,Mexico City Hapoel,Mexico
204,Turin FC,Italy
205,Aveiro Rovers,Portugal
206,Leeds Wanderers,England
207,Bologna Hapoel,Italy
208,Verona Maccabi,Italy
209,Rivera Dynamo,Uruguay
210,Hiroshima City,Japan
211,Bruges City,Belgium
212,Casablanca Maccabi,Morocco
213,Rio de Janeiro Lions,Brazil
214,Sao Paulo Sporting,Brazil
215,Leeds United,England
216,London Athletic,England
217,Gwangju Wanderers,South Korea
218,Fortaleza FC,Brazil
219,Rishon LeZion FC,Israel
220,Netanya Maccabi,Israel
221,Amsterdam Maccabi,Netherlands
222,Monterrey United,Mexico
223,Valencia Athletic,Spain
224,Leipzig Sporting,Germany
225,Santa Fe Sporting,Argentina
226,Miami Eagles,United States
227,Florence Lions,Italy
228,Buenos Aires United,Argentina
229,Varazdin Sporting,Croatia
230,Tetouan FC,Morocco
231,Haifa United,Israel
232,Nagoya Lions,Japan
233,Salto Maccabi,Uruguay
234,Curitiba Athletic,Brazil
235,St. Gallen Rovers,Switzerland
236,Porto Alegre Maccabi,Brazil
237,Zurich City,Switzerland
238,Montevideo Athletic,Uruguay
239,Geneva Eagles,Switzerland
240,Split Rovers,Croatia
241,Lille Hapoel,France
242,Pula Sporting,Croatia
243,Manchester Maccabi,England
244,Brussels United,Belgium
245,Puebla United,Mexico
246,Durazno Wanderers,Uruguay
247,Petah Tikva Athletic,Israel
248,Mechelen Sporting,Belgium
249,Toulouse United,France
250,Esbjerg Athletic,Denmark
251,Cordoba Sporting,Argentina
252,Brighton Wanderers,England
253,Antwerp United,Belgium
254,Ashdod Rovers,Israel
255,Valencia United,Spain
256,Toulouse Dynamo,France
257,Oujda United,Morocco
258,Jerusalem Wanderers,Israel
259,Rabat Hapoel,Morocco
260,Randers Sporting,Denmark
261,Rishon LeZion United,Israel
262,Oujda City,Morocco
263,Birmingham Rovers,England
264,Setubal City,Portugal
265,Mendoza Sporting,Argentina
266,Breda United,Netherlands
267,Liege Athletic,Belgium
268,Yokohama Dynamo,Japan
269,Valencia Rovers,Spain
270,Rishon LeZion Wanderers,Israel
271,Vejle Wanderers,Denmark
272,Chicago Rovers,United States
273,Maldonado Dynamo,Uruguay
274,Paysandu Sporting,Uruguay
275,Rivera Eagles,Uruguay
276,Yokohama Wanderers,Japan
277,Zadar Sporting,Croatia
278,Antwerp Hapoel,Belgium
279,Dortmund Lions,Germany
280,Casablanca Eagles,Morocco
281,Miami Dynamo,United States
282,Rotterdam Sporting,Netherlands
283,Kyoto Lions,Japan
284,Utrecht Rovers,Netherlands
285,Brighton Sporting,England
286,Mar del Plata Hapoel,Argentina
287,Nagoya Maccabi,Japan
288,Suwon Maccabi,South Korea
289,Belo Horizonte Eagles,Brazil
290,Rabat United,Morocco
291,Genoa City,Italy
292,Copenhagen Hapoel,Denmark
293,Split FC,Croatia
294,Bilbao Athletic,Spain
295,Daegu Dynamo,South Korea
296,Mechelen Dynamo,Belgium
297,Geneva Wanderers,Switzerland
298,Petah Tikva United,Israel
299,Tilburg United,Netherlands
300,Valencia Wanderers,Spain
301,Groningen Dynamo,Netherlands
302,Munich Rovers,Germany
303,Rio de Janeiro FC,Brazil
304,Salto Lions,Uruguay
305,Lille Maccabi,France
306,Lille Sporting,France
307,Toulouse Sporting,France
308,Beer Sheva Dynamo,Israel
309,Zurich Eagles,Switzerland
310,Hamburg Rovers,Germany
311,Rosario Maccabi,Argentina
312,Nantes Wanderers,France
313,Leipzig Lions,Germany
314,Sapporo Hapoel,Japan
315,Varazdin Hapoel,Croatia
316,Malaga Wanderers,Spain
317,Chicago Lions,United States
318,Rotterdam Lions,Netherlands
319,Newcastle United,England
320,Florence United,Italy
321,Nantes Eagles,France
322,Liverpool Hapoel,England
323,Varazdin City,Croatia
324,Kyoto Maccabi,Japan
325,Bordeaux Rovers,France
326,Liverpool Wanderers,England
327,New York Wanderers,United States
328,Petah Tikva City,Israel
329,Stuttgart Sporting,Germany
330,Nagoya Eagles,Japan
331,Orlando City,United States
332,Buenos Aires Athletic,Argentina
333,Amsterdam Rovers,Netherlands
334,Florence City,Italy
335,Los Angeles Hapoel,United States
336,Bilbao Maccabi,Spain
337,Brussels Eagles,Belgium
338,Miami Sporting,United States
339,Seville Rovers,Spain
340,Fortaleza Rovers,Brazil
341,Antwerp Dynamo,Belgium
342,Malaga Eagles,Spain
343,Vejle City,Denmark
344,Odense Athletic,Denmark
345,Berlin Hapoel,Germany
346,Bruges Wanderers,Belgium
347,Arnhem Hapoel,Netherlands
348,Porto City,Portugal
349,Mexico City Rovers,Mexico
350,Liverpool Athletic,England
351,Newcastle Athletic,England
352,Sibenik City,Croatia
353,Lausanne Lions,Switzerland
354,Toluca Dynamo,Mexico
355,Rosario Sporting,Argentina
356,Daejeon Eagles,South Korea
357,Charleroi Dynamo,Belgium
358,Montevideo Eagles,Uruguay
359,Mar del Plata Lions,Argentina
360,Mechelen Athletic,Belgium
361,Puebla Dynamo,Mexico
362,Guimaraes Rovers,Portugal
363,Paysandu Hapoel,Uruguay
364,Sapporo Lions,Japan
365,Rio de Janeiro City,Brazil
366,Orlando FC,United States
367,Puebla Eagles,Mexico
368,Birmingham City,England
369,Porto Lions,Portugal
370,Liege United,Belgium
371,Bruges FC,Belgium
372,Zadar Eagles,Croatia
373,Bologna Lions,Italy
374,Rosario FC,Argentina
375,Hamburg Maccabi,Germany
376,New York FC,United States
377,Paysandu Dynamo,Uruguay
378,La Plata Sporting,Argentina
379,Rosario United,Argentina
380,Colonia Rovers,Uruguay
381,Brighton City,England
382,London Hapoel,England
383,Bordeaux Wanderers,France
384,Dortmund Sporting,Germany
385,Horsens Athletic,Denmark
386,Rosario City,Argentina
387,Bilbao Lions,Spain
388,La Plata Maccabi,Argentina
389,Esbjerg Eagles,Denmark
390,Netanya Athletic,Israel
391,Daegu Eagles,South Korea
392,Zadar Lions,Croatia
393,Curitiba Dynamo,Brazil
394,Split Athletic,Croatia
395,Osaka Maccabi,Japan
396,Haifa Sporting,Israel
397,Lucerne Wanderers,Switzerland
398,Marrakesh Dynamo,Morocco
399,Buenos Aires Hapoel,Argentina
400,Buenos Aires Rovers,Argentina
401,Berlin FC,Germany
402,Varazdin United,Croatia
403,Marrakesh Rovers,Morocco
404,Mendoza United,Argentina
405,Daegu City,South Korea
406,Agadir Sporting,Morocco
407,Basel Rovers,Switzerland
408,Puebla FC,Mexico
409,Milan Sporting,Italy
410,Zaragoza Hapoel,Spain
411,Copenhagen Rovers,Denmark
412,Lyon FC,France
413,London City,England
414,Kobe City,Japan
415,Bruges Eagles,Belgium
416,Porto FC,Portugal
417,Durazno Rovers,Uruguay
418,Busan Rovers,South Korea
419,Basel Dynamo,Switzerland
420,Seattle FC,United States
421,Kyoto Wanderers,Japan
422,Nice United,France
423,Basel Athletic,Switzerland
424,Seoul FC,South Korea
425,Beer Sheva FC,Israel
426,Sapporo Sporting,Japan
427,Liverpool FC,England
428,Agadir Athletic,Morocco
429,Leon Rovers,Mexico
430,Santa Fe United,Argentina
431,Seoul City,South Korea
432,Rome Sporting,Italy
433,Mar del Plata Rovers,Argentina
434,Groningen United,Netherlands
435,Fes Hapoel,Morocco
436,Utrecht Dynamo,Netherlands
437,Charleroi Athletic,Belgium
438,Tangier City,Morocco
439,Beer Sheva Maccabi,Israel
440,Brussels Wanderers,Belgium
441,Rishon LeZion Eagles,Israel
442,Rotterdam Athletic,Netherlands
443,Incheon Eagles,South Korea
444,Aveiro Eagles,Portugal
445,Charleroi Eagles,Belgium
446,Tucuman United,Argentina
447,Zurich Sporting,Switzerland
448,Leeds Rovers,England
449,Guimaraes Sporting,Portugal
450,Colonia Dynamo,Uruguay
451,Coimbra United,Portugal
452,Munich City,Germany
453,Valencia Dynamo,Spain
454,Los Angeles Maccabi,United States
455,Ghent Dynamo,Belgium
456,Breda Rovers,Netherlands
457,Barcelona City,Spain
458,Amsterdam Athletic,Netherlands
459,Paysandu United,Uruguay
460,Genoa Sporting,Italy
461,Seoul Lions,South Korea
462,Arnhem City,Netherlands
463,Rishon LeZion Dynamo,Israel
464,Tangier United,Morocco
465,Los Angeles City,United States
466,Madrid FC,Spain
467,Turin Athletic,Italy
468,Pula Lions,Croatia
469,La Plata Lions,Argentina
470,Chicago United,United States
471,Salto FC,Uruguay
472,New York City,United States
473,Lucerne Eagles,Switzerland
474,Sibenik FC,Croatia
475,Pula Athletic,Croatia
476,Nice Rovers,France
477,Chicago FC,United States
478,Aalborg Lions,Denmark
479,Breda Sporting,Netherlands
480,Rabat Rovers,Morocco
481,Rijeka Sporting,Croatia
482,Berlin Sporting,Germany
483,Charleroi Maccabi,Belgium
484,Yokohama FC,Japan
485,Lisbon Dynamo,Portugal
486,Ulsan Hapoel,South Korea
487,Turin United,Italy
488,Naples Rovers,Italy
489,Casablanca Athletic,Morocco
490,Geneva City,Switzerland
491,Genoa Eagles,Italy
492,Genk Hapoel,Belgium
493,Geneva Hapoel,Switzerland
494,Stuttgart Maccabi,Germany
495,Eindhoven Dynamo,Netherlands
496,Curitiba Hapoel,Brazil
497,Rome Maccabi,Italy
498,Yokohama City,Japan
499,Paysandu Wanderers,Uruguay
500,Sao Paulo City,Brazil
501,Geneva United,Switzerland
502,Ulsan United,South Korea
503,Mechelen Hapoel,Belgium
504,Malaga Rovers,Spain
505,Paysandu City,Uruguay
506,Queretaro Lions,Mexico
507,Paysandu Eagles,Uruguay
508,Fes Eagles,Morocco
509,Eindhoven City,Netherlands
510,Rishon LeZion Hapoel,Israel
511,Salvador Hapoel,Brazil
512,Maldonado Lions,Uruguay
513,Lugano Wanderers,Switzerland
514,Lyon Eagles,France
515,Florida FC,Uruguay
516,Coimbra Athletic,Portugal
517,Santa Fe Rovers,Argentina
518,Villarreal Dynamo,Spain
519,Monterrey Sporting,Mexico
520,Nagoya United,Japan
521,Tokyo Rovers,Japan
522,Jerusalem United,Israel
523,Salto Wanderers,Uruguay
524,Horsens Eagles,Denmark
525,Rishon LeZion Lions,Israel
526,Toulouse City,France
527,Rio de Janeiro Wanderers,Brazil
528,Hamburg Sporting,Germany
529,Casablanca Sporting,Morocco
530,St. Gallen City,Switzerland
531,Belo Horizonte FC,Brazil
532,Guadalajara Rovers,Mexico
533,Aarhus FC,Denmark
534,Leipzig United,Germany
535,Osaka Rovers,Japan
536,Sibenik Dynamo,Croatia
537,Aveiro City,Portugal
538,Bruges Dynamo,Belgium
539,Curitiba Rovers,Brazil
540,Basel United,Switzerland
541,Ghent Maccabi,Belgium
542,Recife Maccabi,Brazil
543,Tijuana United,Mexico
544,Zagreb Maccabi,Croatia
545,Geneva Athletic,Switzerland
546,Dortmund FC,Germany
547,Guadalajara Lions,Mexico
548,Puebla Lions,Mexico
549,Birmingham Wanderers,England
550,Tucuman Maccabi,Argentina
551,Rivera Maccabi,Uruguay
552,New York Eagles,United States
553,Vejle United,Denmark
554,Monterrey City,Mexico
555,Lugano Sporting,Switzerland
556,Aveiro Lions,Portugal
557,Hiroshima FC,Japan
558,Nice Sporting,France
559,Brighton FC,England
560,Pula Eagles,Croatia
561,Rome Eagles,Italy
562,Kobe Wanderers,Japan
563,Netanya Rovers,Israel
564,Osaka Athletic,Japan
565,Birmingham Eagles,England
566,Seattle Rovers,United States
567,Guadalajara Athletic,Mexico
568,Dallas Eagles,United States
569,Daegu Athletic,South Korea
570,Curitiba FC,Brazil
571,Miami Rovers,United States
572,Mechelen Lions,Belgium
573,Madrid Athletic,Spain
574,Charleroi Hapoel,Belgium
575,Chicago Dynamo,United States
576,Geneva Rovers,Switzerland
577,Mendoza FC,Argentina
578,Zagreb City,Croatia
579,Bern Athletic,Switzerland
580,Bologna Maccabi,Italy
581,Tel Aviv Dynamo,Israel
582,Birmingham Hapoel,England
583,Arnhem Sporting,Netherlands
584,Pula Dynamo,Croatia
585,Coimbra Dynamo,Portugal
586,Rotterdam FC,Netherlands
587,Ulsan Maccabi,South Korea
588,Esbjerg Rovers,Denmark
589,Zaragoza United,Spain
590,Rivera Lions,Uruguay
591,Rivera Rovers,Uruguay
592,Utrecht City,Netherlands
593,Daegu FC,South Korea
594,Vejle Lions,Denmark
595,Montevideo Lions,Uruguay
596,Kobe Rovers,Japan
597,Toluca Sporting,Mexico
598,Curitiba Wanderers,Brazil
599,Verona Lions,Italy
600,Liege City,Belgium
